time,values
0.59,2.0718
0.591,2.0696
0.592,2.0698
0.593,2.0711
0.594,2.0728
0.595,2.0706
0.596,2.0706
0.597,2.0729
0.598,2.072
0.599,2.0682
0.6,2.0724
0.601,2.0735
0.602,2.0709
0.603,2.0768
0.604,2.0713
0.605,2.0709
0.606,2.0674
0.607,2.0711
0.608,2.0733
0.609,2.0696
0.61,2.07
0.611,2.079
0.612,2.0722
0.613,2.0676
0.614,2.0715
0.615,2.0682
0.616,2.0724
0.617,2.075
0.618,2.0773
0.619,2.0687
0.62,2.0704
0.621,2.0717
0.622,2.0665
0.623,2.0707
0.624,2.0671
0.625,2.0662
0.626,2.0671
0.627,2.0651
0.628,2.0696
0.629,2.0709
0.63,2.0704
0.631,2.0647
0.632,2.0682
0.633,2.0684
0.634,2.0665
0.635,2.0715
0.636,2.0641
0.637,2.0706
0.638,2.0662
0.639,2.0696
0.64,2.0728
0.641,2.0702
0.642,2.0693
0.643,2.0689
0.644,2.0687
0.645,2.0669
0.646,2.0641
0.647,2.0654
0.648,2.0693
0.649,2.0669
0.65,2.0704
0.651,2.0684
0.652,2.0718
0.653,2.0691
0.654,2.0674
0.655,2.0684
0.656,2.0665
0.657,2.0685
0.658,2.0685
0.659,2.0687
0.66,2.0717
0.661,2.0656
0.662,2.0676
0.663,2.0698
0.664,2.0673
0.665,2.0735
0.666,2.0742
0.667,2.0603
0.668,2.0662
0.669,2.0682
0.67,2.0638
0.671,2.0629
0.672,2.0676
0.673,2.0713
0.674,2.0638
0.675,2.0649
0.676,2.0663
0.677,2.0682
0.678,2.0689
0.679,2.0671
0.68,2.0676
0.681,2.0709
0.682,2.0685
0.683,2.072
0.684,2.0707
0.685,2.0706
0.686,2.0684
0.687,2.0629
0.688,2.0663
0.689,2.0726
0.69,2.0702
0.691,2.07
0.692,2.068
0.693,2.0687
0.694,2.061
0.695,2.0685
0.696,2.0696
0.697,2.0649
0.698,2.0652
0.699,2.0731
0.7,2.0643
0.701,2.0676
0.702,2.0636
0.703,2.0707
0.704,2.0636
0.705,2.0621
0.706,2.0649
0.707,2.0682
0.708,2.0605
0.709,2.0636
0.71,2.0728
0.711,2.0647
0.712,2.0656
0.713,2.0684
0.714,2.0667
0.715,2.0715
0.716,2.0652
0.717,2.0678
0.718,2.066
0.719,2.0656
0.72,2.0695
0.721,2.0729
0.722,2.0614
0.723,2.0685
0.724,2.0638
0.725,2.0638
0.726,2.0656
0.727,2.0645
0.728,2.0632
0.729,2.0654
0.73,2.0627
0.731,2.064
0.732,2.0674
0.733,2.0651
0.734,2.0634
0.735,2.0711
0.736,2.066
0.737,2.0673
0.738,2.0684
0.739,2.0656
0.74,2.0717
0.741,2.061
0.742,2.0652
0.743,2.064
0.744,2.0656
0.745,2.0641
0.746,2.0601
0.747,2.0667
0.748,2.064
0.749,2.0676
0.75,2.0652
0.751,2.0618
0.752,2.0627
0.753,2.0645
0.754,2.0649
0.755,2.0658
0.756,2.0669
0.757,2.0599
0.758,2.0612
0.759,2.0652
0.76,2.0649
0.761,2.0629
0.762,2.0647
0.763,2.0702
0.764,2.0641
0.765,2.0704
0.766,2.0605
0.767,2.0667
0.768,2.0585
0.769,2.0691
0.77,2.0706
0.771,2.068
0.772,2.0685
0.773,2.0656
0.774,2.0651
0.775,2.0726
0.776,2.0665
0.777,2.0599
0.778,2.0671
0.779,2.0634
0.78,2.0696
0.781,2.0652
0.782,2.0706
0.783,2.0671
0.784,2.0601
0.785,2.0652
0.786,2.0651
0.787,2.068
0.788,2.0673
0.789,2.0641
0.79,2.0687
0.791,2.0728
0.792,2.061
0.793,2.0632
0.794,2.0698
0.795,2.0662
0.796,2.0698
0.797,2.0673
